run,bucket,scenario,policy_internal,prompt_tokens,concurrency,aggregate_prompt_tokens,delay_ms_internal,pd_count,pd_payload_GB,pd_mean_ms,pd_total_ms,pd_GBps,store_total_ms,store_wait_ms,store_pause_ms,ttft_mean_ms,ttft_p95_ms,decode_elapsed_mean_ms,tpot_mean_ms,request_count,pcie_tx_peak_gbps,pcie_rx_peak_gbps
20260520_064116_storepd_bestdelay_8k_c1_off_c1_w8,bestdelay_8k_c1_off,8k_c1,off,8000,1,8000,0,1,1.179648,116.28333,116.28333,10.144601122104088,116.933931,0.0,0,741.1343530984595,741.1343530984595,1481.8766959942877,11.754498855831722,1,136.75970869840856,114.7697421875
20260520_064206_storepd_bestdelay_8k_c1_d50_c1_w8,bestdelay_8k_c1_d50,8k_c1,d50,8000,1,8000,50,1,1.179648,107.526522,107.526522,10.97076310159088,95.090315,50.1304,0,712.365556973964,712.365556973964,1456.635808921419,11.81023814235001,1,154.77196920978275,134.36621875
20260520_064253_storepd_bestdelay_8k_c1_d100_c1_w8,bestdelay_8k_c1_d100,8k_c1,d100,8000,1,8000,100,1,1.179648,93.77846,93.77846,12.579093322709715,88.131327,98.285905,0,695.9151369519532,695.9151369519532,1438.5673499200493,11.785331381750959,1,181.45103125,184.680171875
20260520_064342_storepd_bestdelay_8k_c1_d200_c1_w8,bestdelay_8k_c1_d200,8k_c1,d200,8000,1,8000,200,1,1.179648,91.928804,91.928804,12.832191311876526,92.305512,96.239673,0,697.7243109140545,697.7243109140545,1442.7911719540134,11.822766191991311,1,183.2645390625,183.6090078125
20260520_064429_storepd_bestdelay_8k_c1_d500_c1_w8,bestdelay_8k_c1_d500,8k_c1,d500,8000,1,8000,500,1,1.179648,93.812215,93.812215,12.574567181896303,97.053081,98.151677,0,700.5933510372415,700.5933510372415,1447.1332480898127,11.846957366085716,1,119.10426263472237,184.086984375
20260520_064516_storepd_bestdelay_16k_c1_off_c1_w8,bestdelay_16k_c1_off,16k_c1,off,16000,1,16000,0,1,2.359296,214.535786,214.535786,10.997214236323257,239.484547,0.0,0,1793.1912899948657,1793.1912899948657,2582.6720679178834,12.527239824911314,1,218.861,116.2841796875
20260520_064605_storepd_bestdelay_16k_c1_d50_c1_w8,bestdelay_16k_c1_d50,16k_c1,d50,16000,1,16000,50,1,2.359296,200.74552,200.74552,11.75267074453268,198.965525,50.281424,0,1768.418063991703,1768.418063991703,2558.374554035254,12.536070207946949,1,211.3166796875,120.58786389585408
20260520_064653_storepd_bestdelay_16k_c1_d100_c1_w8,bestdelay_16k_c1_d100,16k_c1,d100,16000,1,16000,100,1,2.359296,171.304647,171.304647,13.772516048557634,183.786755,100.291339,0,1743.1941670365632,1743.1941670365632,2533.0349260475487,12.534375952941083,1,182.570640625,184.980390625
20260520_064741_storepd_bestdelay_16k_c1_d200_c1_w8,bestdelay_16k_c1_d200,16k_c1,d200,16000,1,16000,200,1,2.359296,158.729802,158.729802,14.863598204450604,198.142612,163.43765,0,1747.2761070821434,1747.2761070821434,2534.075972973369,12.486020221360146,1,182.8720078125,184.6797890625
20260520_064829_storepd_bestdelay_16k_c1_d500_c1_w8,bestdelay_16k_c1_d500,16k_c1,d500,16000,1,16000,500,1,2.359296,157.987315,157.987315,14.933452093922858,186.082933,162.725508,0,1757.2824070230126,1757.2824070230126,2545.26778194122,12.504964030259066,1,215.92025,184.433359375
20260520_064917_storepd_bestdelay_16k_c2_off_c2_w8,bestdelay_16k_c2_off,16k_c2,off,16000,2,32000,0,2,4.718592,209.9411745,419.882349,11.237890831176617,457.25939,0.0,0,2570.8901890320703,3251.86031376943,2954.993221501354,12.385155532449005,2,427.838890625,112.55721875
20260520_065009_storepd_bestdelay_16k_c2_d50_c2_w8,bestdelay_16k_c2_d50,16k_c2,d50,16000,2,32000,50,2,4.718592,181.46340800000002,362.92681600000003,13.001497249517103,386.835672,100.457304,0,2523.0577405309305,3202.1367551526055,2908.6492565111257,12.433661061579421,2,201.9861926548457,135.8091308245864
20260520_065100_storepd_bestdelay_16k_c2_d100_c2_w8,bestdelay_16k_c2_d100,16k_c2,d100,16000,2,32000,100,2,4.718592,145.459854,290.919708,16.21956804658968,352.992292,201.136945,0,2519.2230970715173,3205.0675750535447,2904.856846027542,12.432896982758276,2,184.392921875,184.50965625
20260520_065152_storepd_bestdelay_16k_c2_d200_c2_w8,bestdelay_16k_c2_d200,16k_c2,d200,16000,2,32000,200,2,4.718592,137.759841,275.519682,17.126152170863786,287.139201,284.725993,0,2501.99523253832,3189.872548193671,2886.0044715111144,12.382235402436628,2,214.96925,185.523984375
20260520_065243_storepd_bestdelay_16k_c2_d500_c2_w8,bestdelay_16k_c2_d500,16k_c2,d500,16000,2,32000,500,2,4.718592,138.153411,276.306822,17.077363366728598,327.98186,284.520986,0,2506.3714925199747,3186.7211775737815,2891.859769471921,12.42933477154903,2,194.836421875,184.193796875
20260520_065806_storepd_bestdelay_16k_c3_off_c3_w8,bestdelay_16k_c3_off,16k_c3,off,16000,3,48000,0,3,7.077888,200.18719066666668,600.5615720000001,11.785449369377899,620.4179790000001,0.0,0,3359.5354709929475,4761.52882638853,3743.977093991513,12.395121590284411,3,218.2254765625,181.571953125
20260520_065859_storepd_bestdelay_16k_c3_d50_c3_w8,bestdelay_16k_c3_d50,16k_c3,d50,16000,3,48000,50,3,7.077888,179.66852566666668,539.005577,13.131381755628846,547.337238,151.269534,0,3303.900646356245,4679.152921854984,3688.7599263185016,12.409215999556885,3,208.0421554789624,180.9631328125
20260520_070000_storepd_bestdelay_16k_c3_d100_c3_w8,bestdelay_16k_c3_d100,16k_c3,d100,16000,3,48000,100,3,7.077888,191.01644299999998,573.049329,12.351271769833973,561.6767609999999,211.48689,0,3924.013673366668,5070.343208836857,4329.967302735895,13.089139570271778,3,238.90666093807152,183.7287890625
